Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Austria,AUT,260194628169.57,336495472200.435,391892746544.69,403346977095.66,406091533760.531,406195106237.474,408881164188.391,413029270083.549,421631052473.627,432072509042.657,442527642505.434,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Belgium,BEL,325650555483.959,405832615318.929,480951629493.033,489101342571.806,492716925962.252,494979620293.941,502792988581.692,513013709008.398,520765890121.502,530994736008.02,538738791661.312,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Bulgaria,BGR,36292630364.1532,32315283606.3355,50610058210.3696,51579193177.2032,51595167185.5963,51850006768.6476,52802761608.2307,54635643698.3891,56786516853.9326,58950791931.772,60767158521.7273,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Croatia,HRV,..,46731133248.8917,59807966533.2848,59622653171.7918,58288473804.5857,57968750629.3523,57908539503.2283,59319851278.8131,61386273378.2211,63313308816.1669,64978946241.656,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Cyprus,CYP,11853174085.3117,18521230279.7295,25732432719.0773,25835732467.1881,24945220734.4558,23310540898.8466,22876093066.4192,23648089619.5148,25243527774.0952,26344455786.8222,27414091210.3937,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Denmark,DNK,229126577444.359,298220921668.008,321995279401.502,326299640742.088,327038708766.033,330091094980.358,335436569761.728,343294474742.614,354437668061.096,361654604535.309,370302958452.244,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Czech Republic,CZE,144549764967.14,151842446297.822,207477857918.919,211166468129.741,209477465211.057,208464283372.715,214124330762.743,225492702208.513,231018496454.274,241073815662.396,248204259550.444,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Estonia,EST,..,14048685880.0835,19685033799.4182,21149912286.2337,21807724166.602,22101297096.589,22761534851.0573,23181459034.209,23791494870.1888,25159220824.8951,26357091197.8167,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Finland,FIN,166527833467.33,209137217061.663,249181190476.369,255529156857.5,251958508582.348,249685796237.819,248774592178.166,250169211135.67,256743654124.916,264577624744.963,268999878034.62,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,France,FRA,1894061230987.33,2333523930934.59,2642609548930.36,2700554065740.26,2709010438737.9,2724623188645.21,2750675573688.3,2781288181597.05,2811756203338.3,2875307593548.74,2924903217200.61,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Germany,DEU,2575804775733.08,3118322470844.15,3396354075663.73,3529631540930.7,3544440148182.59,3559618974281.19,3638845013304.35,3702151812971.57,3784709797179.03,3878004030196.74,3937238459204.29,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Greece,GRC,197653949631.077,251509982262.82,299361576558.217,272022398152.027,252163419403.193,243989731144.559,245794711395.995,244718538732.076,244251243064.241,247927466910.085,252723303503.255,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Hungary,HUN,..,106862145054.194,131135561228.374,133521021940.18,131555874425.412,134138295255.417,139765507284.051,145140270520.198,148333354673.725,154745522280.416,162628263153.827,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Ireland,IRL,85442270874.2663,167812387196.735,222148757313.006,222911706772.089,223414851581.063,226434602684.886,245809905127.01,307661903751.453,318977141891.91,344958774769.011,373141461440.054,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Italy,ITA,1750995868636.18,2068664016522.73,2134017843247.16,2149112463084.11,2085049445706.12,2046662320727.41,2046569247891.33,2062497785388.09,2088890974062.22,2124739839580.94,2141192550332.57,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Latvia,LVA,..,16477745723.719,23796118300.8371,25291732561.7948,26337351374.1937,26950486037.0632,27466639152.454,28362195618.765,28865286960.8795,29958505945.1773,31342821682.5253,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Lithuania,LTU,..,24239301578.3055,37024718364.5516,39255693897.4414,40760483496.752,42210914581.3568,43691661315.357,44579977485.7461,45719414769.3006,47661382003.1623,49398523336.8474,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Luxembourg,LUX,25172281328.5398,40777874095.9159,53212476812.2957,54563666585.415,54371319168.6253,56358248485.851,58779842013.8317,61311156256.0234,64115896583.4875,65270740381.6428,67301206244.2635,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Malta,MLT,4263344027.57524,7147819170.09148,8749171417.20801,8863536451.93813,9110935965.30784,9531030208.90399,10360831742.7034,11481685171.3555,12133351045.0364,12949237121.739,13826201947.552,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Netherlands,NLD,533807104362.528,739504612306.255,846554894931.084,859686563471.911,850828748520.953,849721180252.239,861816072528.68,878700511813.182,897959111481.81,924097826461.726,948100838891.553,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Romania,ROU,124804398896.051,109896443682.537,166225180150.414,169561579232.308,173083653020.655,179166767670.468,185277804086.669,192450875631.631,201690057088.723,216033125760.326,224574666260.114,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Portugal,PRT,166396132329.442,221207085355.72,237880908317.652,233846053840.221,224358232357.073,222288203807.692,224049151195.229,228064215666.049,232669938559.521,240828150382.341,246707408374.239,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Poland,POL,..,326203694491.427,479321460551.189,503370145590.82,511463867608.53,518582893907.737,535791795177.926,556361224422.114,573407621132.225,601720558485.059,632697244055.318,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Slovak Republic,SVK,..,55616046823.5995,90183986821.6439,92767255672.2214,94525947335.532,95160069532.0354,97779287955.6198,102494125536.616,104670550595.735,107853297691.477,112203779442.849,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Slovenia,SVN,31023523662.4042,36841188769.1171,48161250935.0166,48576077779.5579,47293941969.4873,46807153071.6077,48102849033.1013,49165961260.1775,50700774965.6127,53151337559.3359,55340225435.0365,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Spain,ESP,875010730777.979,1152484609387.48,1420722034063,1409152050946.11,1367449023146.16,1347820738370.52,1366473336621.79,1418879948438.72,1461890475184.29,1504164957709.71,1539527998175.21,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Sweden,SWE,320725279213.647,396533825052.231,495328620126.028,510447652146.274,507226858302.743,512744630322.397,526831200565.767,550121352380.431,563395990435.037,576984264815.19,589823541463.317,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,United Kingdom,GBR,1625140143652.04,2100867467607.3,2475244321361.11,2513366731633.23,2550537514107.23,2605105899522.32,2673033408186.23,2735997359822.44,2788478032878.88,2841238185458.8,2880608472043.74,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/20/2019,,,,,,,,,,,,,,,
